,ID,NAME,Lat,Lon,ELEVATION,State
268418,US1TXCMR032,"HARLINGEN 4.3 WSW, TX US",26.1718,-97.75173,14.9,TX
270518,US1TXCMR119,"HARLINGEN 3.1 WSW, TX US",26.1744,-97.7304,13.1,TX
270818,US1TXCMR078,"HARLINGEN 3.8 W, TX US",26.1891947686672,-97.7472851425409,13.1,TX
272038,US1TXCMR093,"HARLINGEN 4.4 W, TX US",26.201033,-97.756545,12.8,TX
272418,US1TXCMR085,"HARLINGEN 0.4 N, TX US",26.2010173797607,-97.6856231689453,11.3,TX
278418,US1TXCMR100,"HARLINGEN 6.2 WSW, TX US",26.163527,-97.780598,16.2,TX
281618,US1TXCMR018,"PALM VALLEY 2.2 SSW, TX US",26.17567,-97.76995,18.0,TX
282318,US1TXCMR036,"HARLINGEN 4.7 WSW, TX US",26.181045,-97.764346,14.0,TX
284468,US1TXCMR123,"HARLINGEN 4.7 W, TX US",26.1985,-97.7616,13.7,TX
284868,USC00417458,"RAYMONDVILLE, TX US",26.4644,-97.7848,9.4,TX
285418,USC00415444,"LYFORD, TX US",26.4,-97.8,,TX
285818,US1TXWC0001,"LYFORD 0.6 S, TX US",26.402261,-97.789051,14.0,TX
287038,US1TXWC0005,"RAYMONDVILLE 2.0 SSW, TX US",26.452045,-97.792376,10.1,TX
323377,US1TXCMR121,"HARLINGEN 4.2 W, TX US",26.20491,-97.75243,13.4,TX
325184,US1TXWC0003,"LYFORD 7.3 ESE, TX US",26.358021,-97.687975,8.5,TX
325329,US1TXWC0004,"RAYMONDVILLE 5.8 E, TX US",26.48282224,-97.68740774,6.7,TX
325410,US1TXCMR087,"HARLINGEN 3.1 SSW, TX US",26.1546001434326,-97.7065124511719,13.4,TX
325568,USC00410345,"ARMSTRONG 4 SE, TX US",26.8338,-97.7077,7.6,TX
330610,USC00418081,"SARITA 7 E, TX US",27.2169,-97.6955,11.6,TX
346892,USC00410342,"ARMSTRONG, TX US",26.93333,-97.8,7.6,TX
346900,US1TXKL0001,"KINGSVILLE 15.3 SSE, TX US",27.295891,-97.792657,8.8,TX
348378,US1TXNU0022,"BISHOP 0.9 ENE, TX US",27.5914,-97.7847,18.0,TX
357306,USC00416017,"MONTE ALTO, TX US",26.55,-97.96667,11.9,TX
358329,USC00410073,"AGUA DULCE, TX US",27.78333,-97.9,25.9,TX
358502,US1TXNU0012,"ORANGE GROVE 4.5 SE, TX US",27.908074,-97.889426,36.0,TX
359955,US1TXJW0006,"ORANGE GROVE 3.3 NW, TX US",27.992672,-97.973464,64.3,TX
360006,USC00415089,"LAURELES RANCH, TX US",27.583333,-97.966667,6.1,TX
361376,US1TXLO0014,"SANDIA 5.1 NNW, TX US",28.08472222,-97.91722222,28.7,TX
362226,US1TXKL0009,"KINGSVILLE 3.0 S, TX US",27.46573,-97.8571,9.4,TX
362369,USC00415661,"MATHIS 4 SSW, TX US",28.0372,-97.8725,42.1,TX
363614,US1TXKL0011,"KINGSVILLE 0.6 E, TX US",27.507757,-97.851582,17.1,TX
365606,USC00414810,"KINGSVILLE, TX US",27.5311,-97.8497,17.4,TX
377406,USC00418060,"SANTA ROSA, TX US",26.25,-97.83333,14.9,TX
378122,US1TXNU0046,"SANDIA 6.5 SSE, TX US",27.928151,-97.834437,36.6,TX
378206,USC00417580,"RICARDO, TX US",27.41667,-97.81667,18.0,TX
409346,USC00413025,"EXXON GAS PLANT, TX US",27.48139,-97.79972,25.6,TX
409351,USC00410805,"BISHOP, TX US",27.58417,-97.80306,20.4,TX
409480,US1TXBEE003,"BEEVILLE 6.0 S, TX US",28.319825,-97.760806,68.0,TX
409488,US1TXKL0007,"KINGSVILLE 8.2 SE, TX US",27.423534,-97.767434,9.1,TX
432606,US1TXKL0002,"KINGSVILLE 6.5 SSE, TX US",27.42138889,-97.82361111,18.0,TX
437907,US1TXNU0013,"BISHOP 0.4 ENE, TX US",27.586089,-97.790774,18.9,TX
441394,USW00012928,"KINGSVILLE NAAS, TX US",27.50898,-97.80408,13.4,TX
498382,US1TXCMR108,"SOUTH PADRE ISLAND 2.3 S, TX US",26.078169,-97.168381,1.8,TX
498514,US1TXCMR069,"SOUTH PADRE ISLAND 1.1 N, TX US",26.1266,-97.1704,1.5,TX
499085,USC00418487,"SOUTH PADRE ISLAND, TX US",26.1376,-97.17417,1.5,TX
508730,US1TXSP0012,"ARANSAS PASS 1.8 W, TX US",27.912624,-97.172423,8.2,TX
508737,USC00411880,"COLETO CREEK RESERVOIR, TX US",28.7156,-97.1742,36.0,TX
508782,USC00417176,"PORT ARANSAS 11 SSW, TX US",27.6998,-97.158,1.8,TX
509382,USC00416739,"PADRE ISLAND AT CORPUS CHRISTI, TX US",27.59049,-97.23047,2.4,TX
514482,US1TXNU0007,"CORPUS CHRISTI 9.0 SSE, TX US",27.590507,-97.224739,2.1,TX
520377,US1TXNU0095,"CORPUS CHRISTI 8.7 SSE, TX US",27.594267,-97.226781,2.1,TX
520432,US1TXNU0075,"CORPUS CHRISTI 8.3 SSE, TX US",27.59483,-97.23969,0.6,TX
521762,US1TXNU0093,"CORPUS CHRISTI 8.2 SSE, TX US",27.5979094828373,-97.2354062295648,2.1,TX
521947,US1TXNU0098,"CORPUS CHRISTI 7.8 SSE, TX US",27.603735,-97.238161,0.6,TX
521954,US1TXNU0042,"CORPUS CHRISTI 7.4 SSE, TX US",27.613,-97.2312,0.9,TX
522656,US1TXNU0103,"CORPUS CHRISTI 7.5 SSE, TX US",27.607232,-97.241541,6.7,TX
523226,US1TXNU0061,"CORPUS CHRISTI 6.9 SE, TX US",27.625833,-97.226111,2.7,TX
523493,US1TXNU0030,"CORPUS CHRISTI 7.3 SSE, TX US",27.613712,-97.232419,1.8,TX
530572,US1TXSP0023,"INGLESIDE ON THE BAY 0.7 NE, TX US",27.8374,-97.2161,6.4,TX
530780,US1TXSP0013,"INGLESIDE 1.7 SW, TX US",27.85,-97.216667,11.9,TX
532282,US1TXSP0022,"INGLESIDE 0.6 W, TX US",27.86906,-97.209073,5.2,TX
532299,US1TXSP0019,"INGLESIDE 1.6 N, TX US",27.8934535980225,-97.1958160400391,3.0,TX
532382,US1TXNU0011,"PORT ARANSAS 1.3 ENE, TX US",27.834756,-97.061018,1.5,TX
534382,US1TXNU0091,"PORT ARANSAS 4.0 SSW, TX US",27.77628,-97.10347,1.8,TX
535257,US1TXAR0014,"ROCKPORT 4.4 SW, TX US",27.9894,-97.09486,2.1,TX
535282,USC00410302,"ARANSAS PASS 2, TX US",27.91667,-97.13333,6.1,TX
545465,US1TXNU0049,"PORT ARANSAS 1.5 ENE, TX US",27.83621,-97.059204,1.5,TX
545655,USC00417704,"ROCKPORT, TX US",28.0183,-97.05654,3.0,TX
545662,USC00417705,"ROCKPORT, TX US",28.01667,-97.05,3.0,TX
546498,US1TXAR0008,"ARANSAS PASS 6.1 NNW, TX US",27.972687,-97.134913,6.1,TX
550412,US1TXAR0007,"ROCKPORT 1.3 WSW, TX US",28.03569478,-97.07171399,5.8,TX
581074,US1TXAR0018,"ROCKPORT 0.8 WNW, TX US",28.046967,-97.062327,5.5,TX
581082,US1TXAR0005,"ROCKPORT 0.6 N, TX US",28.049727,-97.053149,4.9,TX
581188,US1TXAR0009,"ROCKPORT 2.3 NNE, TX US",28.07225,-97.038879,5.5,TX
584887,US1TXAR0003,"ROCKPORT 2.1 NNW, TX US",28.069352,-97.064755,11.0,TX
585386,US1TXAR0006,"ROCKPORT 3.0 NNW, TX US",28.082497,-97.062612,3.4,TX
585594,USW00012972,"ROCKPORT ARANSAS CO AIRPORT, TX US",28.08366,-97.04669,7.5,TX
623972,US1TXCMR120,"HARLINGEN 1.1 NE, TX US",26.20408,-97.67229,11.0,TX
626324,USW00012904,"HARLINGEN RIO GRANDE VALLEY INTERNATIONAL AIRPORT, TX US",26.2303,-97.65565,9.5,TX
640096,US1TXCMR092,"SAN BENITO 8.7 ENE, TX US",26.191896,-97.50891,5.5,TX
640206,US1TXCMR097,"RIO HONDO 7.9 E, TX US",26.214389,-97.457626,5.8,TX
640524,US1TXCMR035,"RIO HONDO 9.4 NE, TX US",26.33395,-97.4785,3.7,TX
